agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	10010100	62614	178324	1966	4	4194.9
USGS	10010100	62614	178324	1966	5	4194.9
USGS	10010100	62614	178324	1966	6	4194.75
USGS	10010100	62614	178324	1966	7	4193.75
USGS	10010100	62614	178324	1966	8	4193.75
USGS	10010100	62614	178324	1966	9	4193.25
USGS	10010100	62614	178324	1966	10	4193
USGS	10010100	62614	178324	1966	11	4192.95
USGS	10010100	62614	178324	1966	12	4193.15
USGS	10010100	62614	178324	1967	1	4193.1
USGS	10010100	62614	178324	1967	3	4193.55
USGS	10010100	62614	178324	1967	4	4193.75
USGS	10010100	62614	178324	1967	5	4193.85
USGS	10010100	62614	178324	1967	6	4194.1
USGS	10010100	62614	178324	1967	7	4194.35
USGS	10010100	62614	178324	1967	8	4193.9
USGS	10010100	62614	178324	1967	9	4193.7
USGS	10010100	62614	178324	1967	10	4193.4
USGS	10010100	62614	178324	1967	11	4193.35
USGS	10010100	62614	178324	1967	12	4193.4
USGS	10010100	62614	178324	1968	1	4193.55
USGS	10010100	62614	178324	1968	2	4193.85
USGS	10010100	62614	178324	1968	3	4194.25
USGS	10010100	62614	178324	1968	4	4194.65
USGS	10010100	62614	178324	1968	5	4194.75
USGS	10010100	62614	178324	1968	6	4194.75
USGS	10010100	62614	178324	1968	7	4194.65
USGS	10010100	62614	178324	1968	8	4194.25
USGS	10010100	62614	178324	1968	9	4194
USGS	10010100	62614	178324	1968	10	4193.75
USGS	10010100	62614	178324	1968	11	4193.8
USGS	10010100	62614	178324	1968	12	4193.95
USGS	10010100	62614	178324	1969	1	4194.25
USGS	10010100	62614	178324	1969	2	4194.9
USGS	10010100	62614	178324	1969	3	4195.4
USGS	10010100	62614	178324	1969	4	4195.8
USGS	10010100	62614	178324	1969	5	4196
USGS	10010100	62614	178324	1969	6	4195.85
USGS	10010100	62614	178324	1969	7	4195.7
USGS	10010100	62614	178324	1969	8	4195.2
USGS	10010100	62614	178324	1969	9	4194.8
USGS	10010100	62614	178324	1969	10	4194.4
USGS	10010100	62614	178324	1969	11	4194.4
USGS	10010100	62614	178324	1969	12	4194.55
USGS	10010100	62614	178324	1970	1	4194.85
USGS	10010100	62614	178324	1970	2	4195.2
USGS	10010100	62614	178324	1970	3	4195.35
USGS	10010100	62614	178324	1970	4	4195.4
USGS	10010100	62614	178324	1970	5	4195.4
USGS	10010100	62614	178324	1970	6	4195.4
USGS	10010100	62614	178324	1970	7	4195.25
USGS	10010100	62614	178324	1970	8	4194.9
USGS	10010100	62614	178324	1970	9	4194.4
USGS	10010100	62614	178324	1970	10	4194.15
USGS	10010100	62614	178324	1970	11	4194.2
USGS	10010100	62614	178324	1970	12	4194.45
USGS	10010100	62614	178324	1971	1	4194.8
USGS	10010100	62614	178324	1971	2	4195.2
USGS	10010100	62614	178324	1971	3	4195.55
USGS	10010100	62614	178324	1971	4	4195.85
USGS	10010100	62614	178324	1971	5	4196.45
USGS	10010100	62614	178324	1971	6	4196.7
USGS	10010100	62614	178324	1971	7	4196.65
USGS	10010100	62614	178324	1971	8	4196.4
USGS	10010100	62614	178324	1971	9	4196.1
USGS	10010100	62614	178324	1971	10	4195.95
